stim1,loc1,objmod1,ctgmod1,locmod1,angmod1,objlocmod1,ref1,stim2,action2,loc2,objmod2,ctgmod2,locmod2,angmod2,objlocmod2,ref2,stim3,action3,loc3,objmod3,ctgmod3,locmod3,angmod3,objlocmod3,ref3,stim4,action4,loc4,objmod4,ctgmod4,locmod4,angmod4,objlocmod4,ref4,stim5,action5,loc5,objmod5,ctgmod5,locmod5,angmod5,objlocmod5,ref5,stim6,action6,loc6,objmod6,ctgmod6,locmod6,angmod6,objlocmod6,ref6
7,0,3,1,0,1,3,7,4,True,0,2,1,0,0,2,4,8,False,1,0,0,1,0,4,0,7,False,0,3,1,0,1,3,7,13,False,1,2,1,1,1,6,5,7,False,0,3,1,0,1,3,7
7,0,3,1,0,1,3,7,5,True,0,2,1,0,1,2,5,2,True,0,1,0,0,0,1,2,7,True,0,3,1,0,1,3,7,7,True,0,3,1,0,1,3,7,3,True,0,1,0,0,1,1,3
7,0,3,1,0,1,3,7,9,False,1,0,0,1,1,4,1,12,True,1,2,1,1,0,6,4,8,True,1,0,0,1,0,4,0,4,False,0,2,1,0,0,2,4,5,True,0,2,1,0,1,2,5
7,0,3,1,0,1,3,7,2,True,0,1,0,0,0,1,2,15,False,1,3,1,1,1,7,7,5,False,0,2,1,0,1,2,5,0,True,0,0,0,0,0,0,0,15,False,1,3,1,1,1,7,7
6,0,3,1,0,0,3,6,7,True,0,3,1,0,1,3,7,0,True,0,0,0,0,0,0,0,2,True,0,1,0,0,0,1,2,8,False,1,0,0,1,0,4,0,0,False,0,0,0,0,0,0,0
7,0,3,1,0,1,3,7,10,False,1,1,0,1,0,5,2,10,True,1,1,0,1,0,5,2,12,True,1,2,1,1,0,6,4,5,False,0,2,1,0,1,2,5,9,False,1,0,0,1,1,4,1
7,0,3,1,0,1,3,7,8,False,1,0,0,1,0,4,0,13,True,1,2,1,1,1,6,5,6,False,0,3,1,0,0,3,6,1,True,0,0,0,0,1,0,1,1,True,0,0,0,0,1,0,1
6,0,3,1,0,0,3,6,5,True,0,2,1,0,1,2,5,9,False,1,0,0,1,1,4,1,15,True,1,3,1,1,1,7,7,14,True,1,3,1,1,0,7,6,1,False,0,0,0,0,1,0,1
6,0,3,1,0,0,3,6,3,True,0,1,0,0,1,1,3,12,False,1,2,1,1,0,6,4,14,True,1,3,1,1,0,7,6,0,False,0,0,0,0,0,0,0,10,False,1,1,0,1,0,5,2
4,0,2,1,0,0,2,4,15,False,1,3,1,1,1,7,7,12,True,1,2,1,1,0,6,4,10,True,1,1,0,1,0,5,2,1,False,0,0,0,0,1,0,1,15,False,1,3,1,1,1,7,7
5,0,2,1,0,1,2,5,12,False,1,2,1,1,0,6,4,2,False,0,1,0,0,0,1,2,4,True,0,2,1,0,0,2,4,5,True,0,2,1,0,1,2,5,1,True,0,0,0,0,1,0,1
6,0,3,1,0,0,3,6,5,True,0,2,1,0,1,2,5,1,True,0,0,0,0,1,0,1,15,False,1,3,1,1,1,7,7,9,True,1,0,0,1,1,4,1,11,True,1,1,0,1,1,5,3
6,0,3,1,0,0,3,6,8,False,1,0,0,1,0,4,0,11,True,1,1,0,1,1,5,3,4,False,0,2,1,0,0,2,4,9,False,1,0,0,1,1,4,1,2,False,0,1,0,0,0,1,2
6,0,3,1,0,0,3,6,1,True,0,0,0,0,1,0,1,0,True,0,0,0,0,0,0,0,10,False,1,1,0,1,0,5,2,4,False,0,2,1,0,0,2,4,4,True,0,2,1,0,0,2,4
6,0,3,1,0,0,3,6,11,False,1,1,0,1,1,5,3,2,False,0,1,0,0,0,1,2,3,True,0,1,0,0,1,1,3,14,False,1,3,1,1,0,7,6,2,False,0,1,0,0,0,1,2
7,0,3,1,0,1,3,7,12,False,1,2,1,1,0,6,4,8,True,1,0,0,1,0,4,0,1,False,0,0,0,0,1,0,1,4,True,0,2,1,0,0,2,4,7,True,0,3,1,0,1,3,7
6,0,3,1,0,0,3,6,14,False,1,3,1,1,0,7,6,6,False,0,3,1,0,0,3,6,14,False,1,3,1,1,0,7,6,13,True,1,2,1,1,1,6,5,0,False,0,0,0,0,0,0,0
5,0,2,1,0,1,2,5,15,False,1,3,1,1,1,7,7,1,False,0,0,0,0,1,0,1,5,True,0,2,1,0,1,2,5,10,False,1,1,0,1,0,5,2,10,True,1,1,0,1,0,5,2
7,0,3,1,0,1,3,7,11,False,1,1,0,1,1,5,3,9,True,1,0,0,1,1,4,1,14,True,1,3,1,1,0,7,6,15,True,1,3,1,1,1,7,7,11,True,1,1,0,1,1,5,3
6,0,3,1,0,0,3,6,1,True,0,0,0,0,1,0,1,8,False,1,0,0,1,0,4,0,3,False,0,1,0,0,1,1,3,8,False,1,0,0,1,0,4,0,10,True,1,1,0,1,0,5,2
6,0,3,1,0,0,3,6,6,True,0,3,1,0,0,3,6,7,True,0,3,1,0,1,3,7,3,True,0,1,0,0,1,1,3,1,True,0,0,0,0,1,0,1,14,False,1,3,1,1,0,7,6
8,1,0,0,1,0,4,0,0,False,0,0,0,0,0,0,0,11,False,1,1,0,1,1,5,3,0,False,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,14,False,1,3,1,1,0,7,6
8,1,0,0,1,0,4,0,1,False,0,0,0,0,1,0,1,13,False,1,2,1,1,1,6,5,2,False,0,1,0,0,0,1,2,2,True,0,1,0,0,0,1,2,10,False,1,1,0,1,0,5,2
9,1,0,0,1,1,4,1,4,False,0,2,1,0,0,2,4,6,True,0,3,1,0,0,3,6,14,False,1,3,1,1,0,7,6,3,False,0,1,0,0,1,1,3,7,True,0,3,1,0,1,3,7
9,1,0,0,1,1,4,1,4,False,0,2,1,0,0,2,4,5,True,0,2,1,0,1,2,5,14,False,1,3,1,1,0,7,6,9,True,1,0,0,1,1,4,1,9,True,1,0,0,1,1,4,1
8,1,0,0,1,0,4,0,7,False,0,3,1,0,1,3,7,2,True,0,1,0,0,0,1,2,11,False,1,1,0,1,1,5,3,3,False,0,1,0,0,1,1,3,7,True,0,3,1,0,1,3,7
9,1,0,0,1,1,4,1,9,True,1,0,0,1,1,4,1,2,False,0,1,0,0,0,1,2,8,False,1,0,0,1,0,4,0,1,False,0,0,0,0,1,0,1,6,True,0,3,1,0,0,3,6
9,1,0,0,1,1,4,1,8,True,1,0,0,1,0,4,0,11,True,1,1,0,1,1,5,3,10,True,1,1,0,1,0,5,2,6,False,0,3,1,0,0,3,6,14,False,1,3,1,1,0,7,6
6,0,3,1,0,0,3,6,13,False,1,2,1,1,1,6,5,6,False,0,3,1,0,0,3,6,0,True,0,0,0,0,0,0,0,7,True,0,3,1,0,1,3,7,4,True,0,2,1,0,0,2,4
8,1,0,0,1,0,4,0,6,False,0,3,1,0,0,3,6,14,False,1,3,1,1,0,7,6,11,True,1,1,0,1,1,5,3,14,True,1,3,1,1,0,7,6,15,True,1,3,1,1,1,7,7
4,0,2,1,0,0,2,4,12,False,1,2,1,1,0,6,4,6,False,0,3,1,0,0,3,6,13,False,1,2,1,1,1,6,5,0,False,0,0,0,0,0,0,0,2,True,0,1,0,0,0,1,2
5,0,2,1,0,1,2,5,10,False,1,1,0,1,0,5,2,11,True,1,1,0,1,1,5,3,9,True,1,0,0,1,1,4,1,8,True,1,0,0,1,0,4,0,6,False,0,3,1,0,0,3,6
5,0,2,1,0,1,2,5,10,False,1,1,0,1,0,5,2,1,False,0,0,0,0,1,0,1,15,False,1,3,1,1,1,7,7,4,False,0,2,1,0,0,2,4,5,True,0,2,1,0,1,2,5
4,0,2,1,0,0,2,4,11,False,1,1,0,1,1,5,3,6,False,0,3,1,0,0,3,6,15,False,1,3,1,1,1,7,7,15,True,1,3,1,1,1,7,7,10,True,1,1,0,1,0,5,2
4,0,2,1,0,0,2,4,7,True,0,3,1,0,1,3,7,6,True,0,3,1,0,0,3,6,15,False,1,3,1,1,1,7,7,11,True,1,1,0,1,1,5,3,13,True,1,2,1,1,1,6,5
5,0,2,1,0,1,2,5,6,True,0,3,1,0,0,3,6,13,False,1,2,1,1,1,6,5,12,True,1,2,1,1,0,6,4,5,False,0,2,1,0,1,2,5,2,True,0,1,0,0,0,1,2
6,0,3,1,0,0,3,6,4,True,0,2,1,0,0,2,4,9,False,1,0,0,1,1,4,1,6,False,0,3,1,0,0,3,6,1,True,0,0,0,0,1,0,1,12,False,1,2,1,1,0,6,4
7,0,3,1,0,1,3,7,7,True,0,3,1,0,1,3,7,7,True,0,3,1,0,1,3,7,14,False,1,3,1,1,0,7,6,14,True,1,3,1,1,0,7,6,2,False,0,1,0,0,0,1,2
7,0,3,1,0,1,3,7,5,True,0,2,1,0,1,2,5,4,True,0,2,1,0,0,2,4,13,False,1,2,1,1,1,6,5,2,False,0,1,0,0,0,1,2,13,False,1,2,1,1,1,6,5
7,0,3,1,0,1,3,7,8,False,1,0,0,1,0,4,0,14,True,1,3,1,1,0,7,6,0,False,0,0,0,0,0,0,0,12,False,1,2,1,1,0,6,4,6,False,0,3,1,0,0,3,6
7,0,3,1,0,1,3,7,3,True,0,1,0,0,1,1,3,14,False,1,3,1,1,0,7,6,11,True,1,1,0,1,1,5,3,5,False,0,2,1,0,1,2,5,5,True,0,2,1,0,1,2,5
6,0,3,1,0,0,3,6,7,True,0,3,1,0,1,3,7,8,False,1,0,0,1,0,4,0,15,True,1,3,1,1,1,7,7,3,False,0,1,0,0,1,1,3,13,False,1,2,1,1,1,6,5
7,0,3,1,0,1,3,7,2,True,0,1,0,0,0,1,2,2,True,0,1,0,0,0,1,2,12,False,1,2,1,1,0,6,4,7,False,0,3,1,0,1,3,7,15,False,1,3,1,1,1,7,7
6,0,3,1,0,0,3,6,9,False,1,0,0,1,1,4,1,0,False,0,0,0,0,0,0,0,15,False,1,3,1,1,1,7,7,13,True,1,2,1,1,1,6,5,15,True,1,3,1,1,1,7,7
7,0,3,1,0,1,3,7,4,True,0,2,1,0,0,2,4,7,True,0,3,1,0,1,3,7,14,False,1,3,1,1,0,7,6,5,False,0,2,1,0,1,2,5,0,True,0,0,0,0,0,0,0
7,0,3,1,0,1,3,7,6,True,0,3,1,0,0,3,6,13,False,1,2,1,1,1,6,5,3,False,0,1,0,0,1,1,3,3,True,0,1,0,0,1,1,3,2,True,0,1,0,0,0,1,2
6,0,3,1,0,0,3,6,1,True,0,0,0,0,1,0,1,6,True,0,3,1,0,0,3,6,12,False,1,2,1,1,0,6,4,13,True,1,2,1,1,1,6,5,2,False,0,1,0,0,0,1,2
7,0,3,1,0,1,3,7,2,True,0,1,0,0,0,1,2,10,False,1,1,0,1,0,5,2,10,True,1,1,0,1,0,5,2,6,False,0,3,1,0,0,3,6,10,False,1,1,0,1,0,5,2
7,0,3,1,0,1,3,7,0,True,0,0,0,0,0,0,0,13,False,1,2,1,1,1,6,5,5,False,0,2,1,0,1,2,5,2,True,0,1,0,0,0,1,2,9,False,1,0,0,1,1,4,1
6,0,3,1,0,0,3,6,11,False,1,1,0,1,1,5,3,2,False,0,1,0,0,0,1,2,4,True,0,2,1,0,0,2,4,0,True,0,0,0,0,0,0,0,6,True,0,3,1,0,0,3,6
7,0,3,1,0,1,3,7,10,False,1,1,0,1,0,5,2,8,True,1,0,0,1,0,4,0,12,True,1,2,1,1,0,6,4,8,True,1,0,0,1,0,4,0,11,True,1,1,0,1,1,5,3
4,0,2,1,0,0,2,4,14,False,1,3,1,1,0,7,6,4,False,0,2,1,0,0,2,4,8,False,1,0,0,1,0,4,0,7,False,0,3,1,0,1,3,7,5,True,0,2,1,0,1,2,5
5,0,2,1,0,1,2,5,14,False,1,3,1,1,0,7,6,11,True,1,1,0,1,1,5,3,0,False,0,0,0,0,0,0,0,4,True,0,2,1,0,0,2,4,5,True,0,2,1,0,1,2,5
6,0,3,1,0,0,3,6,0,True,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,10,False,1,1,0,1,0,5,2,15,True,1,3,1,1,1,7,7,7,False,0,3,1,0,1,3,7
7,0,3,1,0,1,3,7,15,False,1,3,1,1,1,7,7,15,True,1,3,1,1,1,7,7,7,False,0,3,1,0,1,3,7,15,False,1,3,1,1,1,7,7,3,False,0,1,0,0,1,1,3
7,0,3,1,0,1,3,7,5,True,0,2,1,0,1,2,5,13,False,1,2,1,1,1,6,5,15,True,1,3,1,1,1,7,7,0,False,0,0,0,0,0,0,0,8,False,1,0,0,1,0,4,0
4,0,2,1,0,0,2,4,12,False,1,2,1,1,0,6,4,12,True,1,2,1,1,0,6,4,10,True,1,1,0,1,0,5,2,4,False,0,2,1,0,0,2,4,7,True,0,3,1,0,1,3,7
4,0,2,1,0,0,2,4,10,False,1,1,0,1,0,5,2,13,True,1,2,1,1,1,6,5,14,True,1,3,1,1,0,7,6,2,False,0,1,0,0,0,1,2,9,False,1,0,0,1,1,4,1
5,0,2,1,0,1,2,5,9,False,1,0,0,1,1,4,1,7,False,0,3,1,0,1,3,7,11,False,1,1,0,1,1,5,3,14,True,1,3,1,1,0,7,6,9,True,1,0,0,1,1,4,1
5,0,2,1,0,1,2,5,6,True,0,3,1,0,0,3,6,10,False,1,1,0,1,0,5,2,6,False,0,3,1,0,0,3,6,9,False,1,0,0,1,1,4,1,5,False,0,2,1,0,1,2,5
4,0,2,1,0,0,2,4,5,True,0,2,1,0,1,2,5,10,False,1,1,0,1,0,5,2,3,False,0,1,0,0,1,1,3,15,False,1,3,1,1,1,7,7,8,True,1,0,0,1,0,4,0
5,0,2,1,0,1,2,5,6,True,0,3,1,0,0,3,6,7,True,0,3,1,0,1,3,7,0,True,0,0,0,0,0,0,0,9,False,1,0,0,1,1,4,1,3,False,0,1,0,0,1,1,3
4,0,2,1,0,0,2,4,15,False,1,3,1,1,1,7,7,9,True,1,0,0,1,1,4,1,7,False,0,3,1,0,1,3,7,14,False,1,3,1,1,0,7,6,5,False,0,2,1,0,1,2,5
5,0,2,1,0,1,2,5,9,False,1,0,0,1,1,4,1,12,True,1,2,1,1,0,6,4,6,False,0,3,1,0,0,3,6,13,False,1,2,1,1,1,6,5,11,True,1,1,0,1,1,5,3
4,0,2,1,0,0,2,4,2,True,0,1,0,0,0,1,2,8,False,1,0,0,1,0,4,0,8,True,1,0,0,1,0,4,0,2,False,0,1,0,0,0,1,2,13,False,1,2,1,1,1,6,5
5,0,2,1,0,1,2,5,2,True,0,1,0,0,0,1,2,7,True,0,3,1,0,1,3,7,5,True,0,2,1,0,1,2,5,4,True,0,2,1,0,0,2,4,6,True,0,3,1,0,0,3,6
4,0,2,1,0,0,2,4,15,False,1,3,1,1,1,7,7,7,False,0,3,1,0,1,3,7,2,True,0,1,0,0,0,1,2,0,True,0,0,0,0,0,0,0,15,False,1,3,1,1,1,7,7
9,1,0,0,1,1,4,1,1,False,0,0,0,0,1,0,1,8,False,1,0,0,1,0,4,0,4,False,0,2,1,0,0,2,4,0,True,0,0,0,0,0,0,0,9,False,1,0,0,1,1,4,1
9,1,0,0,1,1,4,1,1,False,0,0,0,0,1,0,1,10,False,1,1,0,1,0,5,2,13,True,1,2,1,1,1,6,5,0,False,0,0,0,0,0,0,0,15,False,1,3,1,1,1,7,7
5,0,2,1,0,1,2,5,10,False,1,1,0,1,0,5,2,15,True,1,3,1,1,1,7,7,14,True,1,3,1,1,0,7,6,8,True,1,0,0,1,0,4,0,5,False,0,2,1,0,1,2,5
5,0,2,1,0,1,2,5,5,True,0,2,1,0,1,2,5,14,False,1,3,1,1,0,7,6,7,False,0,3,1,0,1,3,7,9,False,1,0,0,1,1,4,1,10,True,1,1,0,1,0,5,2
4,0,2,1,0,0,2,4,0,True,0,0,0,0,0,0,0,2,True,0,1,0,0,0,1,2,6,True,0,3,1,0,0,3,6,14,False,1,3,1,1,0,7,6,2,False,0,1,0,0,0,1,2
9,1,0,0,1,1,4,1,2,False,0,1,0,0,0,1,2,6,True,0,3,1,0,0,3,6,10,False,1,1,0,1,0,5,2,0,False,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0
9,1,0,0,1,1,4,1,1,False,0,0,0,0,1,0,1,3,True,0,1,0,0,1,1,3,9,False,1,0,0,1,1,4,1,10,True,1,1,0,1,0,5,2,7,False,0,3,1,0,1,3,7
6,0,3,1,0,0,3,6,5,True,0,2,1,0,1,2,5,3,True,0,1,0,0,1,1,3,2,True,0,1,0,0,0,1,2,6,True,0,3,1,0,0,3,6,14,False,1,3,1,1,0,7,6
6,0,3,1,0,0,3,6,9,False,1,0,0,1,1,4,1,2,False,0,1,0,0,0,1,2,4,True,0,2,1,0,0,2,4,12,False,1,2,1,1,0,6,4,10,True,1,1,0,1,0,5,2
6,0,3,1,0,0,3,6,11,False,1,1,0,1,1,5,3,3,False,0,1,0,0,1,1,3,7,True,0,3,1,0,1,3,7,9,False,1,0,0,1,1,4,1,15,True,1,3,1,1,1,7,7
6,0,3,1,0,0,3,6,6,True,0,3,1,0,0,3,6,14,False,1,3,1,1,0,7,6,8,True,1,0,0,1,0,4,0,6,False,0,3,1,0,0,3,6,2,True,0,1,0,0,0,1,2
7,0,3,1,0,1,3,7,5,True,0,2,1,0,1,2,5,4,True,0,2,1,0,0,2,4,2,True,0,1,0,0,0,1,2,11,False,1,1,0,1,1,5,3,6,False,0,3,1,0,0,3,6
6,0,3,1,0,0,3,6,10,False,1,1,0,1,0,5,2,13,True,1,2,1,1,1,6,5,13,True,1,2,1,1,1,6,5,8,True,1,0,0,1,0,4,0,12,True,1,2,1,1,0,6,4
6,0,3,1,0,0,3,6,5,True,0,2,1,0,1,2,5,15,False,1,3,1,1,1,7,7,10,True,1,1,0,1,0,5,2,7,False,0,3,1,0,1,3,7,9,False,1,0,0,1,1,4,1
7,0,3,1,0,1,3,7,3,True,0,1,0,0,1,1,3,1,True,0,0,0,0,1,0,1,13,False,1,2,1,1,1,6,5,15,True,1,3,1,1,1,7,7,14,True,1,3,1,1,0,7,6
7,0,3,1,0,1,3,7,12,False,1,2,1,1,0,6,4,11,True,1,1,0,1,1,5,3,9,True,1,0,0,1,1,4,1,15,True,1,3,1,1,1,7,7,1,False,0,0,0,0,1,0,1
7,0,3,1,0,1,3,7,3,True,0,1,0,0,1,1,3,0,True,0,0,0,0,0,0,0,15,False,1,3,1,1,1,7,7,0,False,0,0,0,0,0,0,0,5,True,0,2,1,0,1,2,5
7,0,3,1,0,1,3,7,6,True,0,3,1,0,0,3,6,1,True,0,0,0,0,1,0,1,0,True,0,0,0,0,0,0,0,2,True,0,1,0,0,0,1,2,8,False,1,0,0,1,0,4,0
6,0,3,1,0,0,3,6,15,False,1,3,1,1,1,7,7,4,False,0,2,1,0,0,2,4,11,False,1,1,0,1,1,5,3,3,False,0,1,0,0,1,1,3,12,False,1,2,1,1,0,6,4
8,1,0,0,1,0,4,0,0,False,0,0,0,0,0,0,0,4,True,0,2,1,0,0,2,4,15,False,1,3,1,1,1,7,7,3,False,0,1,0,0,1,1,3,8,False,1,0,0,1,0,4,0
6,0,3,1,0,0,3,6,15,False,1,3,1,1,1,7,7,2,False,0,1,0,0,0,1,2,6,True,0,3,1,0,0,3,6,6,True,0,3,1,0,0,3,6,1,True,0,0,0,0,1,0,1
9,1,0,0,1,1,4,1,0,False,0,0,0,0,0,0,0,8,False,1,0,0,1,0,4,0,15,True,1,3,1,1,1,7,7,14,True,1,3,1,1,0,7,6,10,True,1,1,0,1,0,5,2
7,0,3,1,0,1,3,7,15,False,1,3,1,1,1,7,7,6,False,0,3,1,0,0,3,6,0,True,0,0,0,0,0,0,0,9,False,1,0,0,1,1,4,1,10,True,1,1,0,1,0,5,2
7,0,3,1,0,1,3,7,14,False,1,3,1,1,0,7,6,15,True,1,3,1,1,1,7,7,4,False,0,2,1,0,0,2,4,6,True,0,3,1,0,0,3,6,12,False,1,2,1,1,0,6,4
8,1,0,0,1,0,4,0,3,False,0,1,0,0,1,1,3,9,False,1,0,0,1,1,4,1,4,False,0,2,1,0,0,2,4,8,False,1,0,0,1,0,4,0,9,True,1,0,0,1,1,4,1
9,1,0,0,1,1,4,1,4,False,0,2,1,0,0,2,4,15,False,1,3,1,1,1,7,7,0,False,0,0,0,0,0,0,0,15,False,1,3,1,1,1,7,7,0,False,0,0,0,0,0,0,0
9,1,0,0,1,1,4,1,6,False,0,3,1,0,0,3,6,8,False,1,0,0,1,0,4,0,11,True,1,1,0,1,1,5,3,12,True,1,2,1,1,0,6,4,4,False,0,2,1,0,0,2,4
8,1,0,0,1,0,4,0,0,False,0,0,0,0,0,0,0,11,False,1,1,0,1,1,5,3,10,True,1,1,0,1,0,5,2,15,True,1,3,1,1,1,7,7,15,True,1,3,1,1,1,7,7
6,0,3,1,0,0,3,6,13,False,1,2,1,1,1,6,5,1,False,0,0,0,0,1,0,1,10,False,1,1,0,1,0,5,2,1,False,0,0,0,0,1,0,1,2,True,0,1,0,0,0,1,2
6,0,3,1,0,0,3,6,9,False,1,0,0,1,1,4,1,12,True,1,2,1,1,0,6,4,5,False,0,2,1,0,1,2,5,0,True,0,0,0,0,0,0,0,7,True,0,3,1,0,1,3,7
6,0,3,1,0,0,3,6,2,True,0,1,0,0,0,1,2,12,False,1,2,1,1,0,6,4,9,True,1,0,0,1,1,4,1,13,True,1,2,1,1,1,6,5,10,True,1,1,0,1,0,5,2
6,0,3,1,0,0,3,6,11,False,1,1,0,1,1,5,3,6,False,0,3,1,0,0,3,6,6,True,0,3,1,0,0,3,6,0,True,0,0,0,0,0,0,0,7,True,0,3,1,0,1,3,7
7,0,3,1,0,1,3,7,6,True,0,3,1,0,0,3,6,1,True,0,0,0,0,1,0,1,5,True,0,2,1,0,1,2,5,8,False,1,0,0,1,0,4,0,10,True,1,1,0,1,0,5,2
8,1,0,0,1,0,4,0,3,False,0,1,0,0,1,1,3,11,False,1,1,0,1,1,5,3,4,False,0,2,1,0,0,2,4,10,False,1,1,0,1,0,5,2,8,True,1,0,0,1,0,4,0
9,1,0,0,1,1,4,1,1,False,0,0,0,0,1,0,1,2,True,0,1,0,0,0,1,2,5,True,0,2,1,0,1,2,5,5,True,0,2,1,0,1,2,5,3,True,0,1,0,0,1,1,3
9,1,0,0,1,1,4,1,8,True,1,0,0,1,0,4,0,7,False,0,3,1,0,1,3,7,12,False,1,2,1,1,0,6,4,7,False,0,3,1,0,1,3,7,9,False,1,0,0,1,1,4,1
6,0,3,1,0,0,3,6,11,False,1,1,0,1,1,5,3,6,False,0,3,1,0,0,3,6,10,False,1,1,0,1,0,5,2,11,True,1,1,0,1,1,5,3,4,False,0,2,1,0,0,2,4
7,0,3,1,0,1,3,7,3,True,0,1,0,0,1,1,3,15,False,1,3,1,1,1,7,7,13,True,1,2,1,1,1,6,5,2,False,0,1,0,0,0,1,2,2,True,0,1,0,0,0,1,2
5,0,2,1,0,1,2,5,12,False,1,2,1,1,0,6,4,15,True,1,3,1,1,1,7,7,5,False,0,2,1,0,1,2,5,0,True,0,0,0,0,0,0,0,4,True,0,2,1,0,0,2,4
5,0,2,1,0,1,2,5,15,False,1,3,1,1,1,7,7,8,True,1,0,0,1,0,4,0,5,False,0,2,1,0,1,2,5,8,False,1,0,0,1,0,4,0,8,True,1,0,0,1,0,4,0
5,0,2,1,0,1,2,5,13,False,1,2,1,1,1,6,5,12,True,1,2,1,1,0,6,4,14,True,1,3,1,1,0,7,6,0,False,0,0,0,0,0,0,0,7,True,0,3,1,0,1,3,7
4,0,2,1,0,0,2,4,11,False,1,1,0,1,1,5,3,1,False,0,0,0,0,1,0,1,7,True,0,3,1,0,1,3,7,12,False,1,2,1,1,0,6,4,4,False,0,2,1,0,0,2,4
